Series Number,Filename,UUID,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
20,yakubu-the-zombie,4adb6781-1614-424e-8f77-fe59ffca2209,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
21,abdul-the-vibe,770f817a-9d9a-4772-9a91-e66dd9d03470,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
22,emeka-the -clown,78810fa6-a7ef-4d83-bf57-caf49db4ee69,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
23,salam-the-odogwu,f2957ded-022c-4b07-92c6-b345d4816a67,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
24,charles-the-exporter,09395e76-19ed-4852-8748-795ee7496a8e,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
25,wole-the-pimp,4d94d4f7-9b69-4e43-9db1-1fe83df92857,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
26,saro-the-baller,d35a7514-8996-42fb-a5f2-5a603ec679c5,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
27,ade-omo-yoruba,92984fa0-310b-4377-8a10-15965d044383,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
28,shola-cool kid,3ac5c186-bc14-4eb6-8567-cc818465a64f,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
29,charlie-the-smoker,71a0aa22-d111-43b7-8484-43d87310bc42,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
30,femi-the-badguy,e493e3fb-a8a0-455a-854f-0f6474bbc69f,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
31,sinzu-money,942f8347-9932-4331-bd15-d0f3a048b54f,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
32,obinna-the-palmwine tapper,0f1af056-2548-4407-bed4-abc11deae05d,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
33,aminu-maikudi,0129e7a5-e3d0-4675-92d0-1a1e55d11612,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
34,sabinus-the-town crier,01d4ce96-818e-44b1-8813-68a7d34b35ba,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
35,adisa-ibadan,3a925f27-35f6-4dbf-9960-c6527fae5f3e,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
36,linda-the-navigator,71f335a6-5a4f-4410-9cea-179336f0e498,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
37,kemi-the-iron lady,35b11a31-5b92-49f4-8fb1-30f255d22054,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
38,mercy-the-sassy lady,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
39,sandra-money,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
40,bimpe-the-fashionista,92b548b7-998b-46b6-8198-80d407209483,cf93e4a54659b356b00ed6da5dd6a4e542bca5e822d4694bc414aa8af4380f87
